ID,order_ID,station_ID,worker,shift,confirmedAt,cycleTimeSec,scrapQty
7ad9353d-c99f-4e96-aa98-ba0bc806d34b,6ce1ace2-665b-4646-9eea-a1054d81b54b,4f453f4d-06f7-4d70-aa35-e196db2cf566,W05,EARLY,2026-06-02T06:02:00Z,1488,0
8664e1d1-9a20-4060-ae36-907c8718ae47,6ce1ace2-665b-4646-9eea-a1054d81b54b,cf1112fd-b64d-4421-a37e-f39ab81534a4,W07,EARLY,2026-06-02T06:04:00Z,1464,0
8322fc82-c8fa-4b49-a2d8-f9c386b46133,6ce1ace2-665b-4646-9eea-a1054d81b54b,8aecc241-e1a1-4935-98b2-85c0f97ce833,W06,EARLY,2026-06-02T06:06:00Z,1734,0
764c9d0d-0b87-4895-ab0d-90979a4815c8,6ce1ace2-665b-4646-9eea-a1054d81b54b,afba19a3-31c7-44fe-8853-5bea81b159cc,W05,EARLY,2026-06-02T08:08:00Z,1428,0
e53b3f14-614b-451e-a5ab-278666573266,6ce1ace2-665b-4646-9eea-a1054d81b54b,eff5fdc4-a844-445c-be8a-c6e769ded30d,W07,EARLY,2026-06-02T06:10:00Z,1506,0
450849ed-107e-4da2-b24e-2c5fd717ac77,6ce1ace2-665b-4646-9eea-a1054d81b54b,951f8715-6e0c-4366-9c9e-3c9f8ef892cf,W06,EARLY,2026-06-02T06:12:00Z,1764,0
aa1bd1ee-348d-4e02-b09b-b9f2dcd77ece,6ce1ace2-665b-4646-9eea-a1054d81b54b,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,W04,EARLY,2026-06-02T11:14:00Z,1764,0
1b396634-0717-4c22-bf8d-9380a03da281,6ce1ace2-665b-4646-9eea-a1054d81b54b,1d75485e-d3a6-49c5-a8e5-dd141438fcb9,W02,EARLY,2026-06-02T06:16:00Z,1428,0
4601fbc9-17ee-45fa-ab9f-18f2463cb968,6ce1ace2-665b-4646-9eea-a1054d81b54b,0989d49c-c478-4079-bd75-02e73e1aaa07,W06,EARLY,2026-06-02T06:18:00Z,1452,0
ec48221e-7311-4c07-afdf-c3ffea46c694,97a76885-f41a-48a1-b6d1-00eb57ced37f,4f453f4d-06f7-4d70-aa35-e196db2cf566,W04,EARLY,2026-06-02T06:20:00Z,1392,0
41289a37-410c-46d8-8dd0-51faf6fe6c88,97a76885-f41a-48a1-b6d1-00eb57ced37f,cf1112fd-b64d-4421-a37e-f39ab81534a4,W01,EARLY,2026-06-02T06:22:00Z,1542,0
05939bd8-0d78-4684-b417-c9f7c4dfefae,97a76885-f41a-48a1-b6d1-00eb57ced37f,8aecc241-e1a1-4935-98b2-85c0f97ce833,W07,EARLY,2026-06-02T06:24:00Z,1806,0
031610df-875b-47af-91a3-e091b6001c3c,97a76885-f41a-48a1-b6d1-00eb57ced37f,afba19a3-31c7-44fe-8853-5bea81b159cc,W06,EARLY,2026-06-02T06:26:00Z,1440,0
